gene,spearman_rho,wald_p,wald_q,log2fc_max_min,is_progression_coupled,lineage
LINC01054,,1.0,1.0,0.0,False,LSEC
PRMT5-AS1,0.04861100183506884,0.09357423248884972,0.47728934346880725,13.451376,False,LSEC
DHRS4-AS1,,1.0,1.0,0.0,False,LSEC
ARHGAP5-AS1,0.045468567486294784,0.1168057323108929,0.5285931618930249,2.6026287,False,LSEC
PTCSC3,,1.0,1.0,0.0,False,LSEC
SFTA3,,1.0,1.0,0.0,False,LSEC
SLC25A21-AS1,0.10072136626821017,0.0004991955500866432,0.010147319400514642,16.32668,False,LSEC
LINC00639,0.04162839800941404,0.15107463589563233,0.6035991239719014,13.112648,False,LSEC
LINC00871,,1.0,1.0,0.0,False,LSEC
LINC00648,,1.0,1.0,0.0,False,LSEC
LINC00640,-0.049155723050275164,0.0899520980752668,0.4748115076148753,13.027166,False,LSEC
KTN1-AS1,-0.001060014346494131,0.9708489041491147,1.0,14.031229,False,LSEC
OTX2-AS1,,1.0,1.0,0.0,False,LSEC
HIF1A-AS1,0.019440013757801994,0.5026980430991755,1.0,14.349265,False,LSEC
ADAM20P1,-0.023684150682938193,0.41414740919218096,0.9866935434410576,15.125357,False,LSEC
C14orf178,-0.05212879587601624,0.07212255720037566,0.4301433073323384,14.23359,False,LSEC
DIO2-AS1,,1.0,1.0,0.0,False,LSEC
FOXN3-AS1,-0.0004620608244743825,0.9872907337119372,1.0,14.470583,False,LSEC
FOXN3-AS2,,1.0,1.0,0.0,False,LSEC
LINC00642,-0.0015356500721418612,0.957778917646379,1.0,13.884956,False,LSEC
ITPK1-AS1,0.05654430678667333,0.051068347619522426,0.3620261160121491,13.844601,False,LSEC
DICER1-AS1,0.06463154571811214,0.02571553165508024,0.22583578710192426,3.7560828,False,LSEC
SNHG10,0.10453521804857327,0.0003018377854277738,0.006854894969057074,16.173597,False,LSEC
MEG3,-0.34439345306744146,1.6900647006564937e-34,1.4585258366665541e-31,3.968244,True,LSEC
MEG8,-0.10252855537359049,0.0003941395744451115,0.008721601352464903,16.723143,False,LSEC
MEG9,-0.018045410372060162,0.5338369929269612,1.0,15.534175,False,LSEC
DIO3OS,0.062412775857356,0.03125921036786896,0.262145367069749,14.389992,False,LSEC
LINC00677,,1.0,1.0,0.0,False,LSEC
LINC00638,0.011112364858073124,0.7016408049791455,1.0,14.128218,False,LSEC
LINC00226,,1.0,1.0,0.0,False,LSEC
LINC00221,,1.0,1.0,0.0,False,LSEC
PWRN1,,1.0,1.0,0.0,False,LSEC
LINC00929,,1.0,1.0,0.0,False,LSEC
GOLGA8M,,1.0,1.0,0.0,False,LSEC
LINC00926,-0.015905836966643612,0.5834292681935023,1.0,14.586767,False,LSEC
USP3-AS1,-0.03988799928595459,0.16892336061187946,0.6365976428299213,13.209207,False,LSEC
IQCH-AS1,-0.0008536097722392032,0.9765233323658508,1.0,15.565277,False,LSEC
HEXA-AS1,-0.012949187523916727,0.6552814924255342,1.0,13.560213,False,LSEC
ADPGK-AS1,0.01604461435036173,0.5801485501837766,1.0,14.782692,False,LSEC
LOXL1-AS1,0.0687514664083098,0.017644762121964582,0.16373580334683263,14.433582,False,LSEC
DNM1P35,0.03830321986547383,0.1865100063560642,0.662379158375652,13.579291,False,LSEC
ST20,0.07723042282481879,0.0076651642034469385,0.08373464186803427,15.843443,False,LSEC
PRC1-AS1,,1.0,1.0,0.0,False,LSEC
LINC00924,-0.05924894322850253,0.04091587119434799,0.31248138797099395,16.30479,False,LSEC
NR2F2-AS1,-0.03228606995759811,0.26556219526517866,0.8038651969286844,2.9309878,False,LSEC
SPATA8,,1.0,1.0,0.0,False,LSEC
LINC00923,-0.01779049324804127,0.539632239384533,1.0,12.926593,False,LSEC
SPATA41,0.05116660288386556,0.07754596387841489,0.44639151346766087,14.8318,False,LSEC
WASIR2,-0.0725066549272662,0.012316816287713334,0.12359781925926287,13.902021,False,LSEC
SNHG9,0.011113578252687498,0.7016097874170749,1.0,0.9345076,False,LSEC
SRRM2-AS1,0.0015124966906599144,0.9584149151025207,1.0,13.6996,False,LSEC
BCAR4,,1.0,1.0,0.0,False,LSEC
IL21R-AS1,-0.028031381708442243,0.3337633202193873,0.8766474945777349,14.330629,False,LSEC
FBXL19-AS1,-0.025257493253407627,0.3838187716933788,0.9465175827280524,14.534189,False,LSEC
CRNDE,-0.019384547530829743,0.503917928093983,1.0,2.4665837,False,LSEC
LINC00920,-0.028343218945005265,0.32841158531526327,0.8766474945777349,2.8025615,False,LSEC
VAC14-AS1,-0.04991455925516793,0.08509500952853095,0.4647910963488747,13.562231,False,LSEC
LINC00311,-0.022208365571085905,0.4438431509569684,1.0,15.161562,False,LSEC
FENDRR,0.04308503341113312,0.1372710168687751,0.5755108038740357,12.244736,False,LSEC
SNAI3-AS1,-0.04246151312476095,0.14305589196424887,0.58430477064446,15.41898,False,LSEC
LINC00304,,1.0,1.0,0.0,False,LSEC
VPS9D1-AS1,0.04300071827725615,0.13804256825252073,0.5755108038740357,12.5954075,False,LSEC
PITPNA-AS1,0.11276619968520633,9.618532278691092e-05,0.002593997923909504,4.5051584,False,LSEC
MIR22HG,-0.04657364272281774,0.1081682961843463,0.5227713088792335,1.4195244,False,LSEC
MIR497HG,0.08164805196292466,0.0048099303689997635,0.05765235983953883,15.418617,False,LSEC
LINC00324,-0.007609993517383135,0.79304737056384,1.0,16.049349,False,LSEC
MPRIP-AS1,-0.004479821821319596,0.8772620485107764,1.0,16.276987,False,LSEC
SMCR2,,1.0,1.0,0.0,False,LSEC
RAI1-AS1,,1.0,1.0,0.0,False,LSEC
SMCR5,-0.04000561917387954,0.16766940484074974,0.6365976428299213,16.822504,False,LSEC
FAM106A,-0.014054631748887596,0.6279940565008169,1.0,14.957933,False,LSEC
ZNF286B,0.022648331482847433,0.4348654257221906,1.0,14.07609,False,LSEC
TRIM16L,0.05335257981645042,0.06567705149316605,0.41491165441205646,14.851795,False,LSEC
EPN2-AS1,,1.0,1.0,0.0,False,LSEC
CCDC144NL,0.002889793567315127,0.9206422267194327,1.0,16.569435,False,LSEC
UBBP4,-0.019911687733718875,0.4923877000243415,1.0,14.767592,False,LSEC
RAMP2-AS1,-0.044830956773137,0.1220301765773974,0.5428455793107936,15.699092,False,LSEC
LINC00671,0.1837227708858468,1.678211931804345e-10,1.3166335428610452e-08,5.55079,False,LSEC
LINC00910,0.03156773789362286,0.2763491241630282,0.8038651969286844,2.7686908,False,LSEC
FAM215A,,1.0,1.0,0.0,False,LSEC
ASB16-AS1,-0.03293271253780166,0.2561026068479911,0.7950235601072528,2.7989712,False,LSEC
MAP3K14-AS1,0.038447701047899616,0.1848527727646921,0.662379158375652,12.526249,False,LSEC
KANSL1-AS1,0.042300096796294054,0.14458349861478026,0.5857646143292126,1.7242885,False,LSEC
HOXB-AS1,0.014524480807974574,0.6165453095282313,1.0,2.705825,False,LSEC
HOXB-AS3,-0.003836228391566304,0.8947841492411648,1.0,15.512629,False,LSEC
HOXB-AS2,-0.04598712931953159,0.11268748843809996,0.5249366029497761,14.357811,False,LSEC
TBC1D3P1-DHX40P1,-0.03271427194426547,0.25927162275994436,0.7985397941379847,13.54002,False,LSEC
KCNJ2-AS1,0.00653802947090085,0.8216692356309302,1.0,14.408891,False,LSEC
LINC01152,0.04371912270649097,0.13157460074164765,0.5649198031842881,13.721384,False,LSEC
LINC00511,0.05210149411876878,0.07227205047878224,0.4301433073323384,14.999452,False,LSEC
LINC00469,,1.0,1.0,0.0,False,LSEC
RNF157-AS1,0.037267289173622,0.19871455770028554,0.6778287086772585,13.252398,False,LSEC
LINC00868,,1.0,1.0,0.0,False,LSEC
DNAH17-AS1,,1.0,1.0,0.0,False,LSEC
C1QTNF1-AS1,-0.07295894432585268,0.01178258763754367,0.1210520610857165,16.17867,False,LSEC
LINC00482,0.05112675097837988,0.07777755716414259,0.44639151346766087,14.1537,False,LSEC
TMEM105,0.06009638779517108,0.03810949131075389,0.2936472410819697,14.194661,False,LSEC
MAFG-AS1,0.13024627785451717,6.5007065273609495e-06,0.0002337545722130208,16.301105,False,LSEC
LINC00470,,1.0,1.0,0.0,False,LSEC
DLGAP1-AS1,-0.00732960105198687,0.8005087980486427,1.0,2.8587232,False,LSEC
DLGAP1-AS2,-0.09150412954156542,0.00157117935968611,0.024653232498347506,16.935932,False,LSEC
DLGAP1-AS3,0.038194755646268695,0.18776130312572867,0.6640901827766551,12.931192,False,LSEC
DLGAP1-AS5,,1.0,1.0,0.0,False,LSEC
LINC00667,0.056818699473313965,0.0499505216885282,0.3620261160121491,1.7764629,False,LSEC
LINC00526,0.007353338989955055,0.7998764006475478,1.0,15.244462,False,LSEC
LDLRAD4-AS1,0.025716115832476717,0.3752403244029142,0.9386446375643912,13.069267,False,LSEC
CYP4F35P,-0.02224575550046003,0.44307610463372904,1.0,14.091061,False,LSEC
GATA6-AS1,0.07272738605824584,0.012053476108644611,0.12237823390306235,1.6201532,False,LSEC
AQP4-AS1,-0.0005128154857254908,0.9858948337008906,1.0,12.636366,False,LSEC
LINC00907,0.0001686302677539457,0.9953615512746248,1.0,13.164041,False,LSEC
LINC-ROR,,1.0,1.0,0.0,False,LSEC
