gene,lineage,bin,mean_expr,n_cells
HULC,LSEC,4,0.0,1191
HULC,LSEC,5,0.01963292621076107,1191
HULC,LSEC,6,0.012506336905062199,1191
HULC,LSEC,7,0.005357482470571995,1191
HULC,LSEC,8,0.008069436065852642,1191
HULC,LSEC,9,0.0,1191
HULC,Cholangiocyte,0,0.0,7941
HULC,Cholangiocyte,1,0.0010249546030536294,7941
HULC,Cholangiocyte,2,0.0017511019250378013,7941
HULC,Cholangiocyte,3,0.0,7941
HULC,Cholangiocyte,4,0.0,7941
HULC,Cholangiocyte,5,0.0013762969756498933,7941
HULC,Cholangiocyte,6,0.0,7941
HULC,Cholangiocyte,7,0.0,7941
HULC,Cholangiocyte,8,0.0015210274141281843,7941
HULC,Cholangiocyte,9,0.0,7941
MIAT,Hepatocyte,0,0.00978400744497776,2994
MIAT,Hepatocyte,1,0.01905982755124569,2994
MIAT,Hepatocyte,2,0.008134541101753712,2994
MIAT,Hepatocyte,3,0.008417562581598759,2994
MIAT,Hepatocyte,4,0.008946756832301617,2994
MIAT,Hepatocyte,5,0.009777472354471684,2994
MIAT,Hepatocyte,6,0.025091029703617096,2994
MIAT,Hepatocyte,7,0.00933785829693079,2994
MIAT,Hepatocyte,8,0.028324710205197334,2994
MIAT,Hepatocyte,9,0.14485061168670654,2994
MIAT,Kupffer,0,0.007617361843585968,36057
MIAT,Kupffer,1,0.005832279566675425,36057
MIAT,Kupffer,2,0.0073606171645224094,36057
MIAT,Kupffer,3,0.007958930917084217,36057
MIAT,Kupffer,4,0.007191496901214123,36057
MIAT,Kupffer,5,0.003996266983449459,36057
MIAT,Kupffer,6,0.0031403384637087584,36057
MIAT,Kupffer,7,0.0014952727360650897,36057
MIAT,Kupffer,8,0.0005707324016839266,36057
MIAT,Kupffer,9,0.0025144540704786777,36057
MIAT,LSEC,0,0.09845320135354996,1191
MIAT,LSEC,1,0.17611275613307953,1191
MIAT,LSEC,2,0.1314973682165146,1191
MIAT,LSEC,3,0.07589329779148102,1191
MIAT,LSEC,4,0.06792138516902924,1191
MIAT,LSEC,5,0.07697252184152603,1191
MIAT,LSEC,6,0.03261822462081909,1191
MIAT,LSEC,7,0.01384708471596241,1191
MIAT,LSEC,8,0.006060336716473103,1191
MIAT,LSEC,9,0.02416330762207508,1191
MIAT,Cholangiocyte,0,0.009528273716568947,7941
MIAT,Cholangiocyte,1,0.010564741678535938,7941
MIAT,Cholangiocyte,2,0.0017950715264305472,7941
MIAT,Cholangiocyte,3,0.0,7941
MIAT,Cholangiocyte,4,0.0,7941
MIAT,Cholangiocyte,5,0.0036459453403949738,7941
MIAT,Cholangiocyte,6,0.0015923945466056466,7941
MIAT,Cholangiocyte,7,0.0014217161806300282,7941
MIAT,Cholangiocyte,8,0.003271167166531086,7941
MIAT,Cholangiocyte,9,0.0015957916621118784,7941
LINC00261,Hepatocyte,0,0.0,2994
LINC00261,Hepatocyte,1,0.0,2994
LINC00261,Hepatocyte,2,0.0,2994
LINC00261,Hepatocyte,3,0.0,2994
LINC00261,Hepatocyte,4,0.0,2994
LINC00261,Hepatocyte,5,0.0,2994
LINC00261,Hepatocyte,6,0.0,2994
LINC00261,Hepatocyte,7,0.0,2994
LINC00261,Hepatocyte,8,0.0,2994
LINC00261,Hepatocyte,9,0.0,2994
LINC00261,Kupffer,0,0.0015939937438815832,36057
LINC00261,Kupffer,1,0.0011006828863173723,36057
LINC00261,Kupffer,2,0.0016996075864881277,36057
LINC00261,Kupffer,3,0.0,36057
LINC00261,Kupffer,4,0.0007574606570415199,36057
LINC00261,Kupffer,5,0.0007184376008808613,36057
LINC00261,Kupffer,6,0.0,36057
LINC00261,Kupffer,7,0.0,36057
LINC00261,Kupffer,8,0.0,36057
LINC00261,Kupffer,9,0.00031844357727095485,36057
LINC00261,LSEC,0,0.0,1191
LINC00261,LSEC,1,0.018206287175416946,1191
LINC00261,LSEC,2,0.0,1191
LINC00261,LSEC,3,0.0,1191
LINC00261,LSEC,4,0.0,1191
LINC00261,LSEC,5,0.0,1191
LINC00261,LSEC,6,0.0,1191
LINC00261,LSEC,7,0.07777956128120422,1191
LINC00261,LSEC,8,0.25919896364212036,1191
LINC00261,LSEC,9,0.07695794105529785,1191
LINC00261,Cholangiocyte,0,0.00133011385332793,7941
LINC00261,Cholangiocyte,1,0.0,7941
LINC00261,Cholangiocyte,2,0.0,7941
LINC00261,Cholangiocyte,3,0.0,7941
LINC00261,Cholangiocyte,4,0.001699094194918871,7941
LINC00261,Cholangiocyte,5,0.0,7941
LINC00261,Cholangiocyte,6,0.0,7941
LINC00261,Cholangiocyte,7,0.0,7941
LINC00261,Cholangiocyte,8,0.0,7941
LINC00261,Cholangiocyte,9,0.0,7941
