gene,is_lncRNA,hvg_standard,hvg_forced,mean_raw,var_raw,index_of_dispersion,n_detected
RP5-930J4.4,False,False,False,0.001829,0.001825,0.998178,279.0
EIF4G3,False,False,False,0.069285,0.082983,1.197705,9399.0
ECE1,False,True,True,0.036333,0.046013,1.266399,4938.0
RP3-329E20.2,False,False,False,4.6e-05,4.6e-05,0.999961,7.0
RP5-1071N3.1,False,False,False,0.000524,0.000524,0.999482,80.0
NBPF3,False,False,False,0.006457,0.006559,1.015885,975.0
ALPL,False,True,True,0.003782,0.005761,1.523091,483.0
RP11-63N8.3,False,True,True,4.6e-05,4.6e-05,0.999961,7.0
RAP1GAP,False,False,False,0.000334,0.000413,1.234968,46.0
USP48,False,False,False,0.111157,0.123396,1.110103,15322.0
LDLRAD2,False,False,False,0.001239,0.001277,1.030514,186.0
HSPG2,False,True,True,0.022293,0.11755,5.272949,1257.0
RP1-224A6.3,False,False,False,0.001016,0.001054,1.0377,152.0
LINC00339,True,False,True,0.028658,0.029017,1.01252,4285.0
CDC42,False,False,False,1.189101,2.155637,1.81283,91275.0
RP1-224A6.9,False,False,False,0.000905,0.00093,1.028088,136.0
WNT4,False,False,False,0.000315,0.000406,1.29136,42.0
ZBTB40,False,False,False,0.034007,0.03719,1.093603,4940.0
EPHA8,False,False,False,7.9e-05,7.9e-05,0.999928,12.0
C1QA,False,True,True,2.566129,171.795308,66.947274,28462.0
C1QC,False,True,True,1.279354,50.965092,39.836576,15094.0
C1QB,False,True,True,2.760755,210.155186,76.122364,26641.0
EPHB2,False,False,False,0.003527,0.004012,1.137745,506.0
RP1-74M1.3,False,False,False,7.2e-05,7.2e-05,0.999934,11.0
C1orf234,False,True,True,9.8e-05,0.000111,1.133242,14.0
KDM1A,False,False,False,0.047804,0.050423,1.054767,6937.0
LUZP1,False,False,False,0.102885,0.119673,1.163178,13983.0
HTR1D,False,False,False,2e-05,2e-05,0.999987,3.0
RP5-1057J7.6,False,False,False,0.011143,0.011766,1.055923,1646.0
HNRNPR,False,False,False,0.38899,0.479239,1.232007,45271.0
ZNF436,False,False,False,0.004143,0.004296,1.037003,619.0
C1orf213,False,False,False,0.002458,0.002518,1.024215,370.0
RP5-1057J7.7,False,False,False,3.9e-05,3.9e-05,0.999967,6.0
TCEA3,False,False,False,0.007079,0.008943,1.263299,959.0
ASAP3,False,False,False,0.000177,0.000177,0.99983,27.0
E2F2,False,False,False,0.001757,0.001924,1.095265,255.0
