gene,lineage,rho_main,rho_roots_median,rho_roots_min,rho_roots_max,sign_consistent_frac
DLG5-AS1,LSEC,0.05569453331517553,0.05569453331517554,0.05569453331517554,0.05569453352357048,1.0
DLGAP1-AS1,LSEC,0.01129020587617009,0.03251346001490785,0.016455579314296358,0.048331220230152704,1.0
DLGAP1-AS2,LSEC,-0.06952746014813532,-0.056586167408195956,-0.10684287057018642,0.007328393778755294,0.9
DLGAP1-AS3,LSEC,,,,,0.0
DLGAP1-AS5,LSEC,,,,,0.0
DNAH10OS,LSEC,,,,,0.0
DNAH17-AS1,LSEC,,,,,0.0
DNAJC27-AS1,LSEC,0.013364087762290776,-0.012767667556119303,-0.046320120300102546,0.030609655283490363,0.55
DNAJC9-AS1,LSEC,,,,,0.0
DNM1P35,LSEC,0.042597137568529855,0.03849655104972024,-0.02313465230014984,0.04382119324578647,0.8
DNM3OS,LSEC,0.02047322586569308,0.015422668414295147,-0.05054557887839437,0.06833728796790133,0.6
DNMBP-AS1,LSEC,,,,,0.0
DOCK9-AS1,LSEC,,,,,0.0
DPP10-AS1,LSEC,-0.027928797407995837,-0.04673062525326027,-0.06415873909529336,-0.003479881913459883,1.0
DPYD-AS1,LSEC,,,,,0.0
DPYD-AS2,LSEC,,,,,0.0
DSCAM-AS1,LSEC,,,,,0.0
DSCR9,LSEC,,,,,0.0
EAF1-AS1,LSEC,-0.014480147793623444,-0.021873062744914178,-0.06746321898396125,0.02005720897135925,0.9
EDNRB-AS1,LSEC,,,,,0.0
EDRF1-AS1,LSEC,,,,,0.0
EFCAB14-AS1,LSEC,,,,,0.0
EGOT,LSEC,0.02930686654256608,0.0074134893282272254,-0.08222989467819922,0.04856855666511551,0.65
ELFN2,LSEC,,,,,0.0
ELMO1-AS1,LSEC,,,,,0.0
ENO1-AS1,LSEC,-0.023751994677162963,-0.011797307011657498,-0.0467872826575571,0.011785066269350443,0.8
ENTPD1-AS1,LSEC,-0.01845707697567804,-0.012870429417537806,-0.0184445813707924,0.008997816881558728,0.8
ENTPD3-AS1,LSEC,0.05528223088950371,0.015602505392511826,-0.06702119783535732,0.0786273849249038,0.6
EPB41L4A-AS1,LSEC,0.055677447333359914,0.04982080225795334,0.016679062459840608,0.06412639321684141,1.0
EPHA1-AS1,LSEC,0.0035561911929741646,0.0027983191860039133,-0.03027719811725697,0.02675307863067136,0.6
EPN2-AS1,LSEC,,,,,0.0
EXTL3-AS1,LSEC,,,,,0.0
EZR-AS1,LSEC,,,,,0.0
FAM106A,LSEC,-0.02608557612727609,-0.011780196514662564,-0.05869861410427288,0.03173700688047579,0.6
FAM138B,LSEC,,,,,0.0
FAM13A-AS1,LSEC,0.029375359459581796,0.02307982423712432,-0.0078078848618545775,0.05800087704965438,0.85
FAM182B,LSEC,-0.02740578572629675,-0.018280465834527047,-0.045845939709916884,0.03068203225624372,0.75
FAM201A,LSEC,0.05544972217972421,0.05544972217972422,0.05544972217972422,0.05544972238720314,1.0
FAM215A,LSEC,,,,,0.0
FAM218A,LSEC,,,,,0.0
FAM222A-AS1,LSEC,,,,,0.0
FAM224B,LSEC,,,,,0.0
FAM225A,LSEC,,,,,0.0
FAM225B,LSEC,,,,,0.0
FAM230A,LSEC,-0.04223211148477817,-0.04784724982960918,-0.0770769919695106,-0.009705214066031904,1.0
FAM230C,LSEC,-0.009010487264127802,0.006043731849728295,-0.025175390584867587,0.027792704321608897,0.65
FAM27E3,LSEC,0.04720006012767484,0.02742666247740109,-0.03056707372265083,0.059285274225735284,0.75
FAM41C,LSEC,0.03891460471369088,0.04301253554593451,0.026602151949278192,0.05654370852408594,1.0
FAM53B-AS1,LSEC,0.00031990749246502836,0.02316838708392792,-0.011329361718550267,0.05268051545911289,0.95
FAM66B,LSEC,0.016524751642964172,0.024542316328994937,-0.05312401639293667,0.04088345962037062,0.8
FAM66C,LSEC,0.05584299454908091,0.08782002306088918,0.007937744126596947,0.10528980390612633,1.0
