gene,is_marker,mean_cp10k,var_cp10k,mean_raw,var_raw,n_detected,is_lncRNA,hvg_standard,hvg_forced
REM2,False,0.006106145767866858,0.03624061444973673,0.001658374792703151,0.0016949647424418653,250.0,False,True,True
RBM23,False,0.4672888110829253,2.293628340053966,0.13960500527664707,0.15116016595405007,19183.0,False,False,False
PRMT5-AS1,False,0.008435238216034452,0.041987106971021045,0.002477729927437909,0.002576485127541188,371.0,True,True,True
PRMT5,False,0.06680678616141951,0.25944007535540814,0.024095595802279775,0.02498344622917723,3568.0,False,False,False
RP11-298I3.1,False,0.0019172143531355084,0.008544820587740323,0.0005637163326975138,0.0005634022496059729,86.0,False,False,False
HAUS4,False,0.05273277602763521,0.19605029943824348,0.020097142744774154,0.0208339265088984,2980.0,False,False,False
RP11-298I3.5,False,2.442191161452291e-05,9.09907288327796e-05,6.554841077878067e-06,6.554841077878067e-06,1.0,False,False,False
AJUBA,False,0.001196487533347754,0.004636183266154349,0.00044572919329570856,0.0005110822796238539,63.0,False,False,False
RP11-298I3.4,False,0.0006168003499629651,0.002736935211830556,0.00021630975556997622,0.0002162643832382844,33.0,False,False,False
C14orf93,False,0.04457497592406872,0.1826133996789974,0.01440754068917599,0.01454091050987291,2172.0,False,False,False
PSMB5,False,0.44182619301385034,1.6894273037156051,0.15565781107637044,0.17229246555650593,21094.0,False,False,False
PSMB11,False,0.0,0.0,0.0,0.0,0.0,False,False,False
CDH24,False,0.0024235238845299193,0.009693433720896358,0.0007734712471896118,0.0007859878236004119,117.0,False,False,False
ACIN1,False,0.3372433121611967,1.4511726561789218,0.11181903394752195,0.12392322329795372,15396.0,False,False,False
C14orf119,False,0.5180010696189671,2.1359733132929475,0.16370060107892684,0.16764601783357727,22801.0,False,False,False
CEBPE,False,0.006037940409939761,0.027139359073815723,0.002163097555699762,0.0021977620171123053,327.0,False,False,False
SLC7A8,False,0.039130148545808506,0.17298755936077698,0.018360109859136466,0.03364997792501579,2044.0,False,False,False
C14orf164,False,0.00017040574518710792,0.0007754286059974381,5.89935697009026e-05,5.89904761328327e-05,9.0,False,False,False
HOMEZ,False,0.05161071208516049,0.2130202682221453,0.016865606093380267,0.01706632753131093,2537.0,False,False,False
PPP1R3E,False,0.13884752168013687,0.5937662702931245,0.04350448023387673,0.04668559344438024,6275.0,False,False,False
BCL2L2,False,0.02224620215785368,0.0815131915791997,0.008731048315733585,0.009126825493539787,1296.0,False,False,False
BCL2L2-PABPN1,False,7.73594497210915e-05,0.00013752512548037527,4.588388754514647e-05,4.5882082963772366e-05,7.0,False,False,False
PABPN1,False,0.5606787189218597,2.267931996884244,0.1926074502323691,0.21957827634324042,25199.0,False,False,False
AL049829.1,False,0.000361359421076436,0.0012738974596513107,0.0001179871394018052,0.00011797399173750815,18.0,False,False,False
SLC22A17,False,0.004697890996270295,0.01686008783831679,0.001848465183961615,0.0022383534971494308,257.0,False,False,False
EFS,False,8.132531335417773e-05,0.00027085823499442904,3.277420538939033e-05,3.277334606492647e-05,5.0,False,False,False
RP11-124D2.3,False,0.0,0.0,0.0,0.0,0.0,False,False,False
IL25,False,0.0,0.0,0.0,0.0,0.0,False,False,False
CMTM5,False,0.0014288845331969927,0.018235488657495153,0.0009307874330586855,0.028735745278415454,46.0,False,True,True
MYH6,False,9.353369116210777e-06,1.3346702508537715e-05,6.554841077878067e-06,6.554841077878067e-06,1.0,False,False,False
MYH7,False,0.00019204608643213445,0.0006295608509867353,7.210325185665874e-05,7.20985255721075e-05,11.0,False,False,False
CTD-2201G16.1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
NGDN,False,0.2972173241172268,1.217693491932073,0.09288865291461008,0.09328042383583333,13509.0,False,False,False
RP11-66N24.4,False,0.20555102399727318,0.9083074882942915,0.06157617708558656,0.06359255753521939,8973.0,False,False,False
ZFHX2,False,0.0025343424091662896,0.010735869276627594,0.0009570067973701978,0.0010216460428662145,141.0,False,False,False
THTPA,False,0.0015656210731585813,0.005887108348666992,0.0005637163326975138,0.0005765120176941754,85.0,False,False,False
AP1G2,False,0.22326694210108874,0.9602211488523562,0.06902247655005604,0.07122008234198081,10016.0,False,False,False
RP11-66N24.3,False,0.03169747587490741,0.1306274725642917,0.010415642472748248,0.010674297933315873,1561.0,False,False,False
JPH4,False,0.0032362018884497146,0.008838582632092482,0.0016190457462358825,0.0016426545687586343,245.0,False,False,False
DHRS2,False,0.00018159270944355954,0.00048087790039081805,7.865809293453681e-05,7.865242139307533e-05,12.0,False,False,False
LINC00596,False,2.999180552442006e-05,7.633681741959265e-05,1.3109682155756133e-05,1.3109596223309748e-05,2.0,False,False,False
DHRS4-AS1,False,0.00023386348147274167,0.0007672310349090152,8.521293401241487e-05,8.520623128159675e-05,13.0,True,False,True
DHRS4,False,0.12013590368316521,0.45688133734752745,0.042639241211596825,0.044623236643889945,6233.0,False,False,False
DHRS4L2,False,0.34844748438309114,1.3122465681728854,0.12633145209394397,0.14106250687471925,17199.0,False,False,False
LRRC16B,False,0.0025062918195583347,0.009549048616540254,0.0008062454525790022,0.0008187104695219705,122.0,False,False,False
CPNE6,False,4.058685393847626e-05,9.48657034745543e-05,1.9664523233634202e-05,1.9664265436295045e-05,3.0,False,False,False
NRL,False,0.015728629356511252,0.0667753132076596,0.004739150099305842,0.004729831241089959,722.0,False,False,False
PCK2,False,0.08021550842624821,0.28647643981022197,0.03139113392195806,0.03367026219305276,4557.0,False,False,False
DCAF11,False,0.27875927247818877,1.2080772937108883,0.08780865107925458,0.09136010769767763,12606.0,False,False,False
RP11-468E2.6,False,2.370647767748871e-05,8.573771314704493e-05,6.554841077878067e-06,6.554841077878067e-06,1.0,False,False,False
FITM1,False,0.005923268952995235,0.024214067029766112,0.001861574866117371,0.0018974508890915107,281.0,False,False,False
PSME1,False,4.492958470493383,20.805274937702915,1.455010848261984,2.4470101007947545,104701.0,False,False,False
EMC9,False,0.09284183646982479,0.38247361185155465,0.03035546903165333,0.031807075492038525,4456.0,False,False,False
RP11-468E2.5,False,0.017179024659312137,0.06958212291409294,0.0055716149161963565,0.0056585962540229495,841.0,False,False,False
PSME2,False,3.016083964236787,15.711172792750693,1.0849572952103776,2.8281038588391185,80889.0,False,False,False
RNF31,False,0.00834584365393061,0.0345092337521245,0.002707149365163642,0.002699838404490013,413.0,False,False,False
RP11-468E2.4,False,0.07441208227636521,0.35948927695959065,0.021748962696399424,0.0226263908924694,3220.0,False,True,True
IRF9,False,0.3148098892231858,1.503909337238927,0.09489443428444078,0.11091659090224146,12818.0,False,True,True
REC8,False,0.09959545015371103,0.4338487567096177,0.03407206392281019,0.03852235485342777,4829.0,False,False,False
IPO4,False,0.020526368985113955,0.07696869471483737,0.007505293034170387,0.007567000350528159,1136.0,False,False,False
RP11-468E2.2,False,0.00017260723490583973,0.0021505784840547375,1.9664523233634202e-05,1.9664265436295045e-05,3.0,False,True,True
TM9SF1,False,0.037446888148191845,0.1622390994095759,0.011962584967127472,0.01219974227792048,1797.0,False,False,False
TM9SF1.1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
TSSK4,False,0.0006975724552468226,0.003265307273117725,0.00019009039125846393,0.0001900555026852312,29.0,False,False,False
CHMP4A,False,1.461627979339141,6.228103446573305,0.4551484999246193,0.5078649012882589,53393.0,False,False,False
MDP1,False,0.044971827922312024,0.17779824352232668,0.01583649604415341,0.016280621308337323,2364.0,False,False,False
