gene,spearman_rho,wald_p,wald_q,log2fc_max_min,is_progression_coupled,label_set,lineage_name,n_cells
DLEU2L,0.00974602630633254,0.5947277275482196,1.0,15.111291,False,lineage_leiden,Hepatocyte,2982
DLG1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DLG3-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DLG5-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DLGAP1-AS1,-0.009442926953535264,0.6062373848595957,1.0,1.6599607,False,lineage_leiden,Hepatocyte,2982
DLGAP1-AS2,0.01183434911689544,0.5182805459371532,1.0,2.526194,False,lineage_leiden,Hepatocyte,2982
DLGAP1-AS3,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DLGAP1-AS5,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DNAH10OS,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DNAH17-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DNAJC27-AS1,0.02169873307235843,0.23619130518338444,1.0,13.313366,False,lineage_leiden,Hepatocyte,2982
DNAJC9-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DNM1P35,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DNM3OS,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DNMBP-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DOCK9-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DPP10-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DPYD-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DPYD-AS2,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DSCAM-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DSCR9,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
EAF1-AS1,0.029648927861511257,0.10550396023834979,0.9851615302187684,12.612649,False,lineage_leiden,Hepatocyte,2982
EDNRB-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
EDRF1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
EFCAB14-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
EGOT,0.026223396906575262,0.152245452356571,1.0,12.691664,False,lineage_leiden,Hepatocyte,2982
ELFN2,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ELMO1-AS1,0.02603190759853536,0.1552623414937998,1.0,13.022743,False,lineage_leiden,Hepatocyte,2982
ENO1-AS1,0.02852631806224814,0.11937075399518017,1.0,13.043591,False,lineage_leiden,Hepatocyte,2982
ENTPD1-AS1,0.026256044601764856,0.15173557272710847,1.0,14.11357,False,lineage_leiden,Hepatocyte,2982
ENTPD3-AS1,0.00809178210125598,0.6587095575461831,1.0,15.063021,False,lineage_leiden,Hepatocyte,2982
EPB41L4A-AS1,0.038372047924370975,0.03614414769656761,0.7526388506411484,15.242907,False,lineage_leiden,Hepatocyte,2982
EPHA1-AS1,0.04012028046503895,0.028463415616904658,0.6823313243719089,13.549147,False,lineage_leiden,Hepatocyte,2982
EPN2-AS1,-0.007648934026704914,0.6762969162331122,1.0,13.174103,False,lineage_leiden,Hepatocyte,2982
EXTL3-AS1,-0.026843852682898333,0.14277628651690344,1.0,13.214991,False,lineage_leiden,Hepatocyte,2982
