gene,cell_type,typeSample,n_cells,detection_rate,mean_cp10k,mean_cp10k_in_detected,pseudobulk_cp10k,n_donors
ZFAS1,Resident NK,scRnaSeq,8224,0.40175097276264593,1.6849777493676668,4.194085051694821,1.7216059797139232,11
ZFAS1,T cells,citeSeq,45178,0.4008366904245429,2.5739095395310208,6.421342160082415,2.610266551900457,6
ZFAS1,T cells,scRnaSeq,32165,0.5524016788434634,2.5642412652542714,4.641986734404752,2.650023716028332,11
ZFAS1,cDC1s,citeSeq,589,0.8743633276740238,3.6977970410299257,4.229130984789567,3.600763885152661,5
ZFAS1,cDC1s,scRnaSeq,591,0.9001692047377327,3.1907005368399,3.544556423444325,3.2439013298718953,11
ZFAS1,cDC2s,citeSeq,1536,0.7845052083333334,3.474611710454686,4.42904862013145,3.4049917660561304,6
ZFAS1,cDC2s,scRnaSeq,1093,0.9011893870082343,3.3970003537802436,3.769463336732798,3.3414039597794933,11
ZFAS1,pDCs,citeSeq,506,0.5573122529644269,2.5746089723352075,4.61968843972204,2.4879088780337226,5
ZFAS1,pDCs,scRnaSeq,708,0.7387005649717514,2.815591869846815,3.811546928970449,2.766771155069476,10
LINC00996,B cells,citeSeq,1022,0.023483365949119372,0.07817383223401123,3.3289023559649773,0.10595743728987561,6
LINC00996,B cells,scRnaSeq,1328,0.04593373493975904,0.12424487512729966,2.7048720355582616,0.14293969393371564,11
LINC00996,Basophils,citeSeq,171,0.005847953216374269,0.029475570647047724,5.040322580645161,0.03126973902275811,4
LINC00996,Basophils,scRnaSeq,218,0.013761467889908258,0.12017632679778673,8.732813080639168,0.05262936297419056,9
LINC00996,Cholangiocytes,citeSeq,13,0.0,0.0,,0.0,2
LINC00996,Cholangiocytes,scRnaSeq,142,0.0,0.0,,0.0,6
LINC00996,Circulating NK/NKT,citeSeq,4160,0.015625,0.07024370925362794,4.495597392232188,0.07855557552818226,6
LINC00996,Circulating NK/NKT,scRnaSeq,8407,0.02628761746163911,0.08476219770102111,3.224415366843821,0.08433960030112522,11
LINC00996,Endothelial cells,citeSeq,93,0.010752688172043012,0.03126690366979648,2.9078220412910727,0.03276958720151002,3
LINC00996,Endothelial cells,nucSeq,2,0.0,0.0,,0.0,1
LINC00996,Endothelial cells,scRnaSeq,834,0.001199040767386091,0.00260152043260163,2.1696680407897593,0.002835903559994816,9
LINC00996,Fibroblasts,citeSeq,2,0.0,0.0,,0.0,1
LINC00996,Fibroblasts,nucSeq,1,0.0,0.0,,0.0,1
LINC00996,Fibroblasts,scRnaSeq,127,0.0,0.0,,0.0,3
LINC00996,Hepatocytes,nucSeq,13,0.0,0.0,,0.0,2
LINC00996,Hepatocytes,scRnaSeq,11,0.0,0.0,,0.0,3
LINC00996,Macrophages,citeSeq,2287,0.0034980323567993005,0.01052321054296895,3.0083228139712483,0.009871975288471458,6
LINC00996,Macrophages,nucSeq,1,0.0,0.0,,0.0,1
LINC00996,Macrophages,scRnaSeq,4290,0.015617715617715617,0.03658934543177974,2.342810326900524,0.03190760287523968,11
